101,1,2020-01-01,2020-06-01
102,1,2020-03-01,2020-09-01
103,1,2020-07-01,2020-12-31
104,1,2020-05-15,2020-08-20
105,1,2020-02-01,2020-04-01

201,2,2019-01-01,2019-12-31
202,2,2019-03-01,2019-06-01
203,2,2019-05-01,2019-09-01
204,2,2019-10-01,NULL
205,2,2018-06-01,2018-12-01

301,3,2021-01-01,2021-06-30
302,3,2021-04-01,2021-09-30
303,3,2021-07-01,2021-12-31
304,3,2021-02-01,2021-05-01
305,3,2021-06-30,2021-06-30

401,4,2015-01-01,2015-06-30
402,4,2015-03-01,2015-07-01
403,4,2015-06-30,2015-12-31
404,4,2015-05-01,2015-05-01
405,4,2015-02-15,2015-08-15
